county,state,# total covid cases,# covid cases per 100k,# covid deaths
Hinsdale County,Colorado,131,15975.60975609756,0
Huerfano County,Colorado,1452,21052.631578947367,35
Jackson County,Colorado,166,11925.287356321838,0
Jefferson County,Colorado,128067,21971.380093020703,1356
Kiowa County,Colorado,336,23897.581792318637,6
Kit Carson County,Colorado,1619,22812.45596731013,33
La Plata County,Colorado,13002,23126.589708471925,86
Lake County,Colorado,1843,22677.494770518028,2
Larimer County,Colorado,81210,22754.336661072182,505
Las Animas County,Colorado,3635,25058.596442851234,43
Lincoln County,Colorado,2198,38554.63953692335,9
Logan County,Colorado,7480,33379.44575840064,109
Mesa County,Colorado,43093,27944.361584851824,565
Mineral County,Colorado,241,31339.401820546165,2
Moffat County,Colorado,3062,23052.021380712187,52
Montezuma County,Colorado,6229,23790.245579192604,81
Montrose County,Colorado,9398,21979.51260582815,160
Morgan County,Colorado,5735,19729.599559653227,138
Otero County,Colorado,4322,23645.91311959733,130
Ouray County,Colorado,884,17851.373182552503,6
Park County,Colorado,2913,15457.681082515255,20
Phillips County,Colorado,894,20961.31301289566,19
Pitkin County,Colorado,6676,37575.28001350819,7
Prowers County,Colorado,2654,21804.14065067368,51
Pueblo County,Colorado,47690,28315.441979765354,802
Rio Blanco County,Colorado,1696,26818.469323213154,13
Rio Grande County,Colorado,2856,25348.362474483,46
Routt County,Colorado,6562,25594.820188782276,25
Saguache County,Colorado,1203,17628.956623681126,12
San Juan County,Colorado,203,27884.615384615383,0
San Miguel County,Colorado,2322,28389.778701552757,8
Sedgwick County,Colorado,490,21797.153024911033,11
Summit County,Colorado,10087,32527.16777917513,14
Teller County,Colorado,4897,19288.640302505122,57
Washington County,Colorado,1066,21719.641401792993,28
Weld County,Colorado,85671,26401.575385525684,703
Yuma County,Colorado,1886,18824.23395548458,23
Fairfield County,Connecticut,214106,22696.78119686388,2733
Hartford County,Connecticut,187284,21002.556856412328,3157
Litchfield County,Connecticut,33423,18534.045349436874,461
Middlesex County,Connecticut,30049,18498.978059050947,481
New Haven County,Connecticut,205522,24044.494517155166,2839
New London County,Connecticut,58138,21921.826806331683,662
Tolland County,Connecticut,21898,14528.831416989007,275
Windham County,Connecticut,26643,22814.30357418095,305
Kent County,Delaware,51836,28672.574203754713,650
New Castle County,Delaware,151392,27094.619626203348,1424
Sussex County,Delaware,63138,26956.131924431636,857
District of Columbia,District of Columbia,144675,20499.49769677322,1340
Alachua County,Florida,69008,25649.431503514308,285
Baker County,Florida,8712,29825.40225950017,62
Bay County,Florida,45926,26287.742193984144,394
Bradford County,Florida,7538,26729.548597567464,58
Brevard County,Florida,135740,22550.345382113224,914
Broward County,Florida,614436,31464.713346832054,3079
Calhoun County,Florida,4103,29088.975540588443,45
Charlotte County,Florida,36528,19336.19183738288,437
Citrus County,Florida,29988,20037.81981464282,463
Clay County,Florida,53825,24549.376972615984,352
Collier County,Florida,85078,22103.808242097988,551
Columbia County,Florida,21193,29563.652596043856,170
DeSoto County,Florida,9455,24880.924186205626,97
Dixie County,Florida,4046,24046.119101390705,24
Duval County,Florida,255189,26644.496765874363,1483
Escambia County,Florida,78190,24563.641161612988,706
Flagler County,Florida,22651,19682.65830154413,114
Franklin County,Florida,3087,25459.79381443299,20
Gadsden County,Florida,13475,29511.60753394656,99
Gilchrist County,Florida,4562,24550.640404692713,44
Glades County,Florida,1995,14445.00760263558,19
Gulf County,Florida,4292,31468.582740670136,45
Hamilton County,Florida,3841,26621.846409758804,25
Hardee County,Florida,8696,32282.733786241974,45
Hendry County,Florida,11773,28016.277188139546,87
Hernando County,Florida,42396,21862.62376237624,482
Highlands County,Florida,24304,22880.597998512534,366
Hillsborough County,Florida,379994,25815.37098632579,1832
Holmes County,Florida,5429,27674.975786307794,49
Indian River County,Florida,33156,20732.477504799186,306
Jackson County,Florida,14854,32003.274873960443,158
Jefferson County,Florida,3964,27825.354485469605,28
Lafayette County,Florida,2780,33008.78651151745,26
Lake County,Florida,86320,23512.875969034478,663
Lee County,Florida,191963,24911.592222451487,1009
Leon County,Florida,85724,29199.337834063394,332
Levy County,Florida,10284,24778.93164349565,56
Liberty County,Florida,2507,30009.57625089777,16
Madison County,Florida,5849,31628.183637051854,45
Manatee County,Florida,96960,24044.458441722687,689
Marion County,Florida,84120,23010.07442987699,996
Martin County,Florida,30920,19204.96894409938,335
Miami-Dade County,Florida,1209302,44509.705771934605,6472
Monroe County,Florida,18412,24804.655924987874,52
Nassau County,Florida,21949,24766.149506346967,127
Okaloosa County,Florida,51630,24499.61563647752,367
Okeechobee County,Florida,10649,25253.74691709353,89
Orange County,Florida,383010,27486.415032595312,1310
Osceola County,Florida,115328,30692.666153915758,529
Palm Beach County,Florida,375184,25066.24264249016,2883
Pasco County,Florida,123993,22383.549328726396,802
Pinellas County,Florida,212746,21820.192082839316,1671
Polk County,Florida,202456,27933.557494236156,1387
Putnam County,Florida,17669,23710.095140966976,160
Santa Rosa County,Florida,48592,26363.84845344604,291
Sarasota County,Florida,91416,21076.123594210385,844
Seminole County,Florida,105227,22302.07746075884,516
St. Johns County,Florida,63143,23857.075927940998,221
St. Lucie County,Florida,75157,22892.990188762004,657
Sumter County,Florida,22305,16844.132306298143,284
Suwannee County,Florida,12972,29205.034108562035,140
Taylor County,Florida,7015,32523.529139042144,48
Union County,Florida,4321,28358.600774430663,74
Volusia County,Florida,118119,21348.710607933717,846
Wakulla County,Florida,9972,29556.299831056047,56
Walton County,Florida,16555,22350.177532367594,89
Washington County,Florida,6642,26074.66729478271,52
Appling County,Georgia,3555,19335.36386380942,128
Atkinson County,Georgia,1605,19657.072872014698,50
Bacon County,Georgia,2588,23181.65532067359,78
Baker County,Georgia,315,10368.663594470047,15
Baldwin County,Georgia,7332,16333.259077745599,240
Banks County,Georgia,3423,17796.610169491523,94
Barrow County,Georgia,19607,23554.78135511773,256
Bartow County,Georgia,21769,20205.498524197592,447
Ben Hill County,Georgia,2170,12994.011976047903,122
Berrien County,Georgia,2033,10481.002216837654,83
Bibb County,Georgia,28980,18921.512937535503,788
Bleckley County,Georgia,1462,11357.10401615785,100
Brantley County,Georgia,2491,13035.7423203726,109
Brooks County,Georgia,1899,12285.695801255093,86
Bryan County,Georgia,6968,17583.970525146997,91
Bulloch County,Georgia,10547,13248.668475530098,264
Burke County,Georgia,2981,13318.14323370415,110
Butts County,Georgia,4807,19277.350016041066,157
Calhoun County,Georgia,987,15947.6490547746,22
Camden County,Georgia,8824,16141.660264149561,120
Candler County,Georgia,1401,12968.619827825603,96
Carroll County,Georgia,14478,12065.80438695913,460
Catoosa County,Georgia,12703,18796.981355430602,168
Charlton County,Georgia,2239,16718.936678614096,62
Chatham County,Georgia,54144,18707.113982655566,886
Chattahoochee County,Georgia,6594,60456.58751260658,22
Chattooga County,Georgia,5271,21263.463633063053,134
Cherokee County,Georgia,45668,17647.899896820763,630
Clarke County,Georgia,26409,20578.815718727354,232
Clay County,Georgia,366,12914.608327452364,6
Clayton County,Georgia,58629,20060.83707434578,977
Clinch County,Georgia,1392,21033.544877606528,42
Cobb County,Georgia,140096,18430.264911378286,1819
Coffee County,Georgia,8392,19393.155085157025,282
Colquitt County,Georgia,7991,17524.122807017542,246
Columbia County,Georgia,20987,13391.911379966054,390
Cook County,Georgia,2070,11986.103068905617,76
Coweta County,Georgia,21210,14281.962709330748,491
Crawford County,Georgia,1189,9585.617542728152,55
Crisp County,Georgia,2545,11375.826926515287,137
Dade County,Georgia,2679,16623.231571109456,29
Dawson County,Georgia,6184,23686.22644400184,101
DeKalb County,Georgia,133938,17639.737810105926,1746
Decatur County,Georgia,5316,20133.31313437358,131
Dodge County,Georgia,2110,10240.232953166707,154
Dooly County,Georgia,1534,11456.310679611652,69
Dougherty County,Georgia,14161,16100.095502296603,498
Douglas County,Georgia,28470,19454.295729894835,400
Early County,Georgia,2103,20637.880274779196,62
Echols County,Georgia,466,11632.551173240141,12
Effingham County,Georgia,10395,16167.413213885779,196
Elbert County,Georgia,2643,13769.928102532042,109
Emanuel County,Georgia,3439,15185.904795548884,160
Evans County,Georgia,1508,14154.308241036231,65
Fannin County,Georgia,4166,15908.049488315259,160
Fayette County,Georgia,17345,15158.930615883448,321
Floyd County,Georgia,23027,23378.139657658023,520
Forsyth County,Georgia,44745,18319.19492982657,401
Franklin County,Georgia,4393,18814.510257398604,104
Fulton County,Georgia,190683,17922.395780953197,2343
Gilmer County,Georgia,4660,14855.43052057764,178
Glascock County,Georgia,269,9054.190508246382,25
Glynn County,Georgia,18215,21356.047460488673,405
Gordon County,Georgia,12017,20732.191225436916,270
Grady County,Georgia,3695,15000.202979742622,113
Greene County,Georgia,3204,17485.265225933203,85
Gwinnett County,Georgia,177324,18939.81308411215,1886
Habersham County,Georgia,8419,18573.508648076244,264
Hall County,Georgia,47299,23135.7702222157,844
Hancock County,Georgia,1374,16246.896062433485,90
Haralson County,Georgia,3461,11617.212674543502,173
Harris County,Georgia,5170,14672.494040186173,113
Hart County,Georgia,3219,12283.915283342872,100
Heard County,Georgia,1479,12404.596158684895,54
Henry County,Georgia,46101,19654.16245667438,688
Houston County,Georgia,23374,14806.509441731121,500
Irwin County,Georgia,1055,11204.333050127443,51
Jackson County,Georgia,18569,25445.003220192662,291
Jasper County,Georgia,1697,11934.735213446796,73
Jeff Davis County,Georgia,2322,15362.222957327158,72
Jefferson County,Georgia,2240,14581.434709022262,113
Jenkins County,Georgia,1079,12436.60673121254,66
Johnson County,Georgia,1476,15306.439904594006,73
Jones County,Georgia,3748,13043.32695319297,109
Lamar County,Georgia,3294,17266.865859411857,113
Lanier County,Georgia,1099,10543.989254533244,25
Laurens County,Georgia,8647,18186.598241702774,299
Lee County,Georgia,3862,12876.76713790344,103
Liberty County,Georgia,11065,18010.905835435828,149
Lincoln County,Georgia,861,10869.839666708749,35
Long County,Georgia,2251,11508.76834193977,35
Lowndes County,Georgia,15359,13081.95492564264,392
Lumpkin County,Georgia,6621,19699.49419815531,132
Macon County,Georgia,1206,9314.899204448908,50
Madison County,Georgia,5972,19986.61311914324,110
Marion County,Georgia,965,11544.44311520517,50
McDuffie County,Georgia,2991,14034.346846846847,98
McIntosh County,Georgia,1982,13784.949227987203,37
Meriwether County,Georgia,3271,15453.299948032314,145
Miller County,Georgia,1294,22630.290311297656,30
Mitchell County,Georgia,3114,14243.242007043864,117
Monroe County,Georgia,3930,14250.489520632387,174
Montgomery County,Georgia,1482,16157.87178368949,53
Morgan County,Georgia,2921,15153.558829632704,70
Murray County,Georgia,9116,22735.43495610535,188
Muscogee County,Georgia,32231,16463.791509380953,823
Newton County,Georgia,18313,16388.351947308132,457
Oconee County,Georgia,7001,17380.834160873885,106
Oglethorpe County,Georgia,2403,15748.083098499246,58
Paulding County,Georgia,26365,15631.39203282207,433
Peach County,Georgia,3726,13526.464822478763,133
Pickens County,Georgia,5147,15792.70350710319,167
Pierce County,Georgia,2778,14271.769843308502,130
Pike County,Georgia,2757,14539.60552684316,98
Polk County,Georgia,9283,21784.431980850914,193
Pulaski County,Georgia,1225,10999.371464487744,78
Putnam County,Georgia,3689,16677.96916677969,106
Quitman County,Georgia,242,10526.315789473685,4
Rabun County,Georgia,2823,16473.12831884227,99
Randolph County,Georgia,860,12688.108586603717,48
Richmond County,Georgia,36841,18191.46940025084,895
Rockdale County,Georgia,15331,16866.52878014434,321
Schley County,Georgia,534,10157.8847251284,11
Screven County,Georgia,1849,13239.295431762852,70
Seminole County,Georgia,1651,20407.911001236094,30
Spalding County,Georgia,10539,15799.889060462048,421
Stephens County,Georgia,5925,22854.387656702027,159
Stewart County,Georgia,2220,33529.678296329854,35
Sumter County,Georgia,3926,13297.656144153909,170
Talbot County,Georgia,948,15302.663438256659,32
Taliaferro County,Georgia,183,11906.310995445674,3
Tattnall County,Georgia,3406,13469.904294866727,131
Taylor County,Georgia,1154,14389.027431421448,54
Telfair County,Georgia,1261,7950.819672131148,85
Terrell County,Georgia,1191,13960.848669558083,67
Thomas County,Georgia,8869,19952.30703471238,210
Tift County,Georgia,6304,15510.28442082472,218
Toombs County,Georgia,5472,20395.08013417816,202
Towns County,Georgia,2055,17072.36022264684,116
Treutlen County,Georgia,1137,16475.87306187509,61
Troup County,Georgia,12133,17352.192443007923,379
Turner County,Georgia,1115,13963.681903569191,61
Twiggs County,Georgia,1050,12931.034482758621,70
Union County,Georgia,4320,17624.73991269226,159
Upson County,Georgia,4208,15987.841945288754,235
Walker County,Georgia,13813,19800.46157595218,244
Walton County,Georgia,15921,16831.055152072564,434
Ware County,Georgia,5958,16673.196395589635,280
Warren County,Georgia,654,12447.658926532165,30
Washington County,Georgia,3235,15878.079905762246,137
Wayne County,Georgia,5713,19089.785143850037,205
Webster County,Georgia,253,9704.64135021097,8
Wheeler County,Georgia,936,11915.977084659453,39
White County,Georgia,6296,20442.88590168193,163
Whitfield County,Georgia,27341,26131.6282448293,439
Wilcox County,Georgia,828,9588.882455124494,71
Wilkes County,Georgia,1126,11516.825202004706,53
Wilkinson County,Georgia,1646,18382.845655572928,56
Worth County,Georgia,2350,11606.65777646071,119
Hawaii County,Hawaii,28425,14105.789700912595,190
Honolulu County,Hawaii,178469,18312.720675831115,1063
Kalawao County,Hawaii,0,0.0,0
Kauai County,Hawaii,12864,17794.253938832255,29
Maui County,Hawaii,32001,19114.54631250112,140
Ada County,Idaho,135259,28086.098669606945,1022
Adams County,Idaho,704,16394.969725197952,15
Bannock County,Idaho,20914,23817.87536443149,247
Bear Lake County,Idaho,917,14971.428571428572,16
Benewah County,Idaho,2397,25779.73757797376,41
Bingham County,Idaho,9817,20971.56651214458,154
Blaine County,Idaho,6059,26319.447461013857,30
Boise County,Idaho,1094,13970.11875877921,14
Bonner County,Idaho,8941,19547.869433087737,188
Bonneville County,Idaho,30942,25988.14063261158,286
Boundary County,Idaho,2107,17207.023274806044,62
Butte County,Idaho,475,18290.335001925298,9
Camas County,Idaho,158,14285.714285714284,2
Canyon County,Idaho,61709,26847.626050145962,685
Caribou County,Idaho,1490,20824.598183088747,26
Cassia County,Idaho,5032,20940.4910528506,52
Clark County,Idaho,109,12899.40828402367,1
Clearwater County,Idaho,2324,26541.79990863408,33
Custer County,Idaho,532,12329.084588644264,9
Elmore County,Idaho,7264,26403.983861001052,70
Franklin County,Idaho,2331,16798.789276448544,29
Fremont County,Idaho,2158,16474.54004122452,28
Gem County,Idaho,3681,20323.542402826854,79
Gooding County,Idaho,3297,21720.798471572565,56
Idaho County,Idaho,2982,17891.642167156657,52
Jefferson County,Idaho,6043,20230.32372535235,65
Jerome County,Idaho,6101,24991.80730788137,65
Kootenai County,Idaho,42145,25434.980717816255,594
Latah County,Idaho,6801,16956.716864465943,49
Lemhi County,Idaho,1261,15709.48050330136,25
Lewis County,Idaho,1134,29546.63887441376,29
